Bank Name,Card Name,Annual Fee ($),Interest Rate (%),Offers
CIBC Bank,Allure Mastercard,0,20.99,Help support the Quebec Breast Cancer Foundation with each Purchase
CIBC Bank,CIBC Aeroplan Visa Business Card,180,12.99,"Join and get up to $1,700 in value"
CIBC Bank,CIBC Aeroplan Visa Business Plus Card,120,N/A,"Join and get over $1,600 in value"
CIBC Bank,CIBC Aeroplan Visa Card,0,20.99,Join and get up to $200 in value in your first year
CIBC Bank,CIBC Aeroplan Visa Card for Students,0,20.99,Join and get up to $200 in value in your first year
CIBC Bank,CIBC Aeroplan Visa Infinite Card,139,20.99,"Join and get up to $1,100 in value in your first year, 1"
CIBC Bank,CIBC Aeroplan Visa Infinite Privilege Card,599,20.99,"Join and get up to $2,200 in value in your first year"
CIBC Bank,CIBC Aventura Gold Visa Card,139,20.99,"Join and get up to $1,300 in value!"
CIBC Bank,CIBC Aventura Visa Card,0,20.99,"Earn up to 2,500 Aventura Points for no annual fee"
CIBC Bank,CIBC Aventura Visa Card for Business,180,N/A,"Join and get over $1,800 in value"
CIBC Bank,CIBC Aventura Visa Card for Business Plus,N/A,19.99,"Join and get over $1,800 in value!"
CIBC Bank,CIBC Aventura Visa Card for Students,0,20.99,"Earn up to 2,500 Aventura Points for no annual fee"
CIBC Bank,CIBC Aventura Visa Infinite Card,139,20.99,"Join and get up to $1,300 in value!"
CIBC Bank,CIBC Aventura Visa Infinite Privilege Card,499,20.99,"Join and get over $2,200 in value"
CIBC Bank,CIBC Classic Visa Card,0,20.99,"Get 90-day protection on new purchases1 and $100,000 Common Carrier Accident Insurance1"
CIBC Bank,CIBC Classic Visa Card for Students,0,20.99,No Offer
CIBC Bank,CIBC Corporate Classic Plus Visa Card,202,N/A,Effectively manage your business expenses
CIBC Bank,CIBC Costco Business Mastercard,0,N/A,No Offer
CIBC Bank,CIBC Costco Mastercard,0,N/A,No Offer
CIBC Bank,CIBC Dividend Platinum Visa Card,99,20.99,No Offer
CIBC Bank,CIBC Dividend Visa Card,0,20.99,Get up to 10 cents off per litre at participating gas stations with Journie Rewards
CIBC Bank,CIBC Dividend Visa Card for Students,0,20.99,"Get up to 10% cash back for the first 4 statements on total purchases of up to $1,000"
CIBC Bank,CIBC Dividend Visa Infinite Card,120,20.99,No Offer
CIBC Bank,CIBC Select Visa Card,29,13.99,Transfer your credit card balance  get 0% interest for up to 10 months with a 1% transfer fee
CIBC Bank,CIBC U.S. Dollar Aventura Gold Visa Card,N/A,N/A,No Offer
CIBC Bank,CIBC bizline Visa Card,0,N/A,Interest as low as CIBC Prime plus 1
CIBC Bank,ECHO Cashback Mastercard,30,20.99,Purchase  protection
CIBC Bank,MC1 Mastercard,0,20.99,Mobile Protection
CIBC Bank,Platinum Mastercard,70,20.99,Help support the Quebec Breast Cancer Foundation with each Purchase
RBC Bank,RBC Avion Visa Business,120,19.99,"Get 35,000 Avion points1 Earn 1 Avion point for every $1 spent in net purchases with your card No blackout periods or seat restrictions"
RBC Bank,RBC Avion Visa Infinite,120,20.99,"Special Offer Get 35,000 Welcome Points on approval and 20,000 bonus points when you spend $5,000 in your first 6 months1"
RBC Bank,RBC Avion Visa Infinite Business,175,19.99,"Get 35,000 Avion points2 Earn 1"
RBC Bank,RBC Avion Visa Infinite Privilege,399,20.99,"travel Limited Time Offer Get up to 70,000 Avion points1 travel value of up to $1,500"
RBC Bank,RBC Avion Visa Platinum,120,20.99,"Special Offer Get 35,000 Welcome Points on approval and 20,000 bonus points when you spend $5,000 in your first 6 months1"
RBC Bank,RBC British Airways Visa Infinite,165,20.5,"Receive up to 60,000 bonus Avios1"
RBC Bank,RBC Business Cash Back Mastercard,0,19.99,2% cash back + $60 bonus credit with minimum spend in the first three months Earn 1% cash back on all purchases thereafter No Annual Fee
RBC Bank,RBC Cash Back Mastercard,0,20.99,No annual fee Unlimited cashback and up to 2% back on groceries1 Purchase security and extended warranty protection
